City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
372,Druzhba,UA,52.0428,33.9453,44.24,80,100,18.61,overcast clouds
373,Taltal,CL,-25.4,-70.4833,69.22,60,77,9.08,broken clouds
374,Tailai,CN,46.3833,123.4,16.66,92,100,15.52,light snow
375,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,89,100,9.46,overcast clouds
376,Krasnyy Kholm,RU,58.0607,37.1203,27.28,94,90,7.34,overcast clouds
377,Suntar,RU,62.1444,117.6319,-15.77,100,99,1.77,overcast clouds
378,Remontnoye,RU,46.5614,43.6501,43.21,64,26,17.05,scattered clouds
379,La Rinconada,ES,37.4873,-5.9826,65.43,74,20,2.3,few clouds
380,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,29.8,85,97,11.56,light snow
381,Port-Gentil,GA,-0.7193,8.7815,80.08,79,100,10.42,overcast clouds
382,East Wenatchee Bench,US,47.4257,-120.2812,37.35,82,90,0.0,overcast clouds
383,Richards Bay,ZA,-28.783,32.0377,70.5,77,98,12.1,overcast clouds
384,Eydhafushi,MV,5.1033,73.0708,81.99,73,100,13.27,overcast clouds
385,Kassala,SD,15.451,36.4,82.74,17,4,8.99,clear sky
386,Ponta Delgada,PT,37.7333,-25.6667,63.5,88,20,11.5,few clouds
387,Salinas,US,36.6777,-121.6555,62.8,69,1,19.57,clear sky
388,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,95,75,3.0,volcanic ash
389,Mackay,AU,-21.15,149.2,74.05,76,22,10.27,few clouds
390,Hualmay,PE,-11.0964,-77.6139,69.76,73,99,9.26,overcast clouds
391,Artyom,AZ,40.4723,50.333,44.74,75,5,1.48,clear sky
392,Baruun-Urt,MN,46.6806,113.2792,3.4,84,35,8.61,scattered clouds
393,Beringovskiy,RU,63.05,179.3167,0.52,99,98,11.81,overcast clouds
394,Chapais,CA,49.7834,-74.8492,31.78,74,18,8.57,few clouds
395,Kampot,KH,10.6167,104.1833,77.05,85,86,0.47,overcast clouds
396,Mount Isa,AU,-20.7333,139.5,80.37,47,3,8.05,light rain
